Figure 3a,,,,,,,Figure 3b,,,,,Figure 3c,,,,,,
SSP2-4.5,Change in water cycle component (mm year-1) obtained from mean of ESMs,Uncertainty in change in water cycle component (mm year-1)  from ESMs,Change in water cycle component (mm year-1) obtained from EC,Uncertainty in change in water cycle component (mm year-1)  from EC,,SSP5-8.5,Change in water cycle component (mm year-1) obtained from mean of ESMs,Uncertainty in change in water cycle component (mm year-1)  from ESMs,Change in water cycle component (mm year-1) obtained from EC,Uncertainty in change in water cycle component (mm year-1)  from EC,,SSP2-4.5,Water cycle component change per degree (mm year-1 K-1) obtained from mean of ESMs,Uncertainty in water cycle component change per degree (mm year-1 K-1) obtained from mean of ESMs,Water cycle component change per degree (mm year-1 K-1) obtained from EC,Uncertainty in water cycle component change per degree (mm year-1 K-1)  from EC,,
Ocean P,44.8,16.4,25.2,17.0,,Ocean P,62.8,24.1,41.9,27.4,,Ocean P,17.4,28.4,16.1,31.4,,
Ocean E,54.1,20.5,30.0,19.9,,Ocean E,75.6,25.4,45.4,24.9,,Ocean E,20.8,31.8,14.9,31.0,,
Land P,46.7,19.8,36.3,11.5,,Land P,66.8,26.7,54.1,17.9,,Land P,12.1,20.1,10.7,12.9,,
Land E,27.8,12.9,16.0,12.4,,Land E,34.5,21.2,20.8,18.3,,Land E,4.0,14.9,2.9,13.2,,
Land Q,26.4,15.7,20.2,4.5,,Land Q,40.8,22.0,33.3,7.6,,Land Q,8.6,16.3,7.8,5.5,,
,,,,,,,,,,,,,,,0.092,,,
,,,,,,,,,,,,,,,,,,
,Uncertainty reduction by %,,,,,,Uncertainty reduction by %,,,,,,Uncertainty reduction by %,,,,,
Ocean P,,3.6,,,,Ocean P,,13.6,,,,Ocean P,,10.4,,,,
Ocean E,,-2.6,,,,Ocean E,,-1.7,,,,Ocean E,,-2.7,,,,
Land P,,-41.8,,,,Land P,,-33.1,,,,Land P,,-35.6,,,,
Land E,,-4.0,,,,Land E,,-13.8,,,,Land E,,-11.0,,,,
Land Q,,-71.4,,,,Land Q,,-65.7,,,,Land Q,,-66.0,,,,
,,,,,,,,,,,,,,,,,,
,,,Value reduction by %,,,,,,Value reduction by %,,,,,,,,,
Ocean P,,,43.6,,,,,,33.3,,,,,,,,,
Ocean E,,,44.6,,,,,,40.0,,,,,,,,,
Land P,,,22.3,,,,,,19.1,,,,,,,,,
Land E,,,42.3,,,,,,39.8,,,,,,,,,
Land Q,,,23.4,,,,,,18.4,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,average,1 std
Figure 3a under SSP2-4.5 original data,model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8,model 9,model 10,model 11,model 12,model 13,model 14,model 15,,,
Ocean P,70.85793469,52.33612124,39.87290967,58.05486124,53.35078025,55.04410042,61.99252296,37.38865408,23.36096709,24.48978363,33.76357015,26.32616373,22.46833274,46.15589168,66.11416854,,44.8,16.4
Ocean E,82.11952537,58.46255915,42.07181373,85.68941066,63.46511916,64.13536384,72.71256353,45.61901178,32.61689751,31.04951686,47.86279792,28.72992596,24.92843524,49.89205825,81.78835975,,54.1,20.5
Land P,67.42515859,34.15983257,21.74573676,23.68054282,71.24871714,65.58683647,71.95272812,31.0154051,55.19758588,46.28347828,49.58446686,18.06318732,24.09473529,51.43041013,68.70179435,,46.7,19.8
Land E,38.80137552,18.05996476,17.00629026,24.42706137,45.13598644,42.05131271,45.92668135,10.02653083,32.48786973,30.14119412,13.79806183,10.5956894,16.95822677,42.18954307,29.10114946,,27.8,12.9
Land Q,32.41113092,20.12746725,7.755968326,14.7283774,51.44185306,48.83448626,40.71837986,22.89591837,27.36559136,20.64758001,40.06242485,6.520462467,7.908690744,10.33523521,44.32540405,,26.4,15.7
,,,,,,,,,,,,,,,,,,
Figure 3b under SSP5-8.5 original data,model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8,model 9,model 10,model 11,model 12,model 13,model 14,model 15,model 16,,
Ocean P,92.43716244,69.08061466,52.52706761,82.44380555,68.19433167,66.55569659,94.98480242,107.5386553,50.21280947,37.33199855,38.8065616,49.05454223,31.55897479,24.14592657,63.73515894,75.56144464,62.8,24.1
Ocean E,109.0418763,75.94140316,60.10729584,85.68941066,81.80306706,79.38132785,109.7846454,119.4973596,69.57684684,55.11038006,51.37507483,73.12278523,37.5136984,33.46764789,66.17485659,101.8181703,75.6,25.4
Land P,78.35118435,26.81047401,33.63758356,33.50098472,84.94481909,80.56726253,101.8301769,99.16223963,59.60714217,101.5833273,81.57971697,73.03852666,29.78524545,43.61602167,54.53506173,86.79706476,66.8,26.7
Land E,36.18505003,8.778980404,16.06201933,24.42706137,49.84885306,47.32240536,66.74151517,69.44806314,10.88441073,58.1242624,50.91910506,12.31599954,12.91896864,19.13401843,48.83699283,20.74478836,34.5,21.2
Land Q,50.19240781,25.33585168,22.41806652,14.7283774,72.43856109,69.51805403,64.7713492,36.52951954,51.62704444,51.96056858,39.06608403,67.70171707,14.86685392,21.97707806,8.491826167,,40.8,22.0
