section,subsection,index,value,error,name,color
subplot1,data,1,0.36491148200966,0.10328013711996,ESM,#1f77b4
subplot1,data,2,0.352997910381556,0.0303390125361108,EC,#ff7f0e
subplot1,data,3,0.410389286122567,0.0524461777041959,Literature,#2ca02c
subplot2,EC,0,395.55,20.6,Ocean P,#ff7f0e
subplot2,EC,1,434.63,21.3,Ocean E,#ff7f0e
subplot2,EC,2,112.43,4.2,Land P,#ff7f0e
subplot2,EC,3,73.35,6.2,Land E,#ff7f0e
subplot2,EC,4,39.08,5.4,Land Q,#ff7f0e
subplot2,Literature,0,396.9,17.4,Ocean P,#2ca02c
subplot2,Literature,1,440.4,20.0,Ocean E,#2ca02c
subplot2,Literature,2,113.4,4.3,Land P,#2ca02c
subplot2,Literature,3,67.8,7.6,Land E,#2ca02c
subplot2,Literature,4,46.4,4.8,Land Q,#2ca02c
subplot3,model,1,0.349948,0.336123,ACCESS-CM2,#E41A1C
subplot3,model,2,0.352218,0.347955,ACCESS-ESM1-5,#377EB8
subplot3,model,3,0.231074,0.197934,AWI-ESM-1-1-LR,#4DAF4A
subplot3,model,4,0.424145,0.419747,BCC-CSM2-MR,#984EA3
subplot3,model,5,0.487413,0.466016,BCC-ESM1,#FF7F00
subplot3,model,6,0.388430,0.408794,CESM2-WACCM,#A65628
subplot3,model,7,0.386953,0.405253,CESM2,#F781BF
subplot3,model,8,0.556838,0.557738,CMCC-CM2-HR4,#999999
subplot3,model,9,0.543665,0.588259,CMCC-CM2-SR5,#66C2A5
subplot3,model,10,0.544552,0.577621,CMCC-ESM2,#FC8D62
subplot3,model,11,0.365752,0.384425,CanESM5,#8DA0CB
subplot3,model,12,0.319330,0.328470,E3SM-1-0,#E78AC3
subplot3,model,13,0.326260,0.343109,E3SM-1-1-ECA,#A6D854
subplot3,model,14,0.302807,0.319409,E3SM-1-1,#FFD92F
subplot3,model,15,0.334676,0.358571,FIO-ESM-2-0,#E5C494
subplot3,model,16,0.379448,0.362944,GISS-E2-1-H,#B3B3B3
subplot3,model,17,0.277531,0.299529,INM-CM4-8,#1B9E77
subplot3,model,18,0.288982,0.306950,INM-CM5-0,#D95F02
subplot3,model,19,0.355691,0.418659,IPSL-CM6A-LR,#7570B3
subplot3,model,20,0.253901,0.212623,MPI-ESM-1-2-HAM,#E7298A
subplot3,model,21,0.250489,0.233906,MPI-ESM1-2-HR,#66A61E
subplot3,model,22,0.244662,0.211178,MPI-ESM1-2-LR,#E6AB02
subplot3,model,23,0.332137,0.338709,MRI-ESM2-0,#A6761D
subplot3,model,24,0.361222,0.419323,NorESM2-MM,#666666
subplot3,model,25,0.260558,0.287036,SAM0-UNICON,#56B4E9
subplot3,model,26,0.308476,0.357418,TaiESM1,#009E73
subplot3,uncertainty,EC,0.3439,0.0121,,orange
subplot3,uncertainty,ESM,0.353,0.0303,,#1f77b4
subplot4,model,1,414.3752877,279.9205347,ACCESS-CM2,#E41A1C
subplot4,model,2,456.361136,322.0034787,ACCESS-ESM1-5,#377EB8
subplot4,model,3,233.1467042,152.6342744,AWI-ESM-1-1-LR,#4DAF4A
subplot4,model,4,462.3925914,351.9331247,BCC-CSM2-MR,#984EA3
subplot4,model,5,581.2934974,410.9781076,BCC-ESM1,#FF7F00
subplot4,model,6,393.5436983,335.8289258,CESM2-WACCM,#A65628
subplot4,model,7,397.3034825,332.227178,CESM2,#F781BF
subplot4,model,8,634.8266562,489.7977781,CMCC-CM2-HR4,#999999
subplot4,model,9,587.2639748,507.5621063,CMCC-CM2-SR5,#66C2A5
subplot4,model,10,589.9865532,492.2356203,CMCC-ESM2,#FC8D62
subplot4,model,11,408.9352527,324.7233414,CanESM5,#8DA0CB
subplot4,model,12,346.0911368,279.1472261,E3SM-1-0,#E78AC3
subplot4,model,13,342.6181251,287.374505,E3SM-1-1-ECA,#A6D854
subplot4,model,14,323.0100624,268.9208894,E3SM-1-1,#FFD92F
subplot4,model,15,333.7297735,294.854358,FIO-ESM-2-0,#E5C494
subplot4,model,16,342.464713,280.2748223,GISS-E2-1-H,#B3B3B3
subplot4,model,17,309.7145412,273.9657159,INM-CM4-8,#1B9E77
subplot4,model,18,334.3733438,285.1768978,INM-CM5-0,#D95F02
subplot4,model,19,390.3327391,390.3885549,IPSL-CM6A-LR,#7570B3
subplot4,model,20,284.5839434,172.0300834,MPI-ESM-1-2-HAM,#E7298A
subplot4,model,21,266.4805571,175.5144917,MPI-ESM1-2-HR,#66A61E
subplot4,model,22,258.7142617,160.5464597,MPI-ESM1-2-LR,#E6AB02
subplot4,model,23,390.0941628,301.2895597,MRI-ESM2-0,#A6761D
subplot4,model,24,344.4088819,326.3084532,NorESM2-MM,#666666
subplot4,model,25,243.7046931,221.058685,SAM0-UNICON,#56B4E9
subplot4,model,26,317.4254284,292.6842789,TaiESM1,#009E73
subplot4,uncertainty,EC,331.4204,0,,orange
subplot4,uncertainty,ESM,266.2046,37.0628,,#1f77b4
